   PPID     PID    PGID     SID TTY        TPGID STAT   UID   TIME COMMAND
      2     542       0       0 ?             -1 S        0   0:00 [irq/168-iwlwifi:queue_3]
      2     543       0       0 ?             -1 S        0   0:00 [irq/169-iwlwifi:queue_4]
      2     545       0       0 ?             -1 S        0   0:01 [irq/170-iwlwifi:queue_5]
      2     546       0       0 ?             -1 S        0   0:00 [irq/171-iwlwifi:queue_6]
      2     549       0       0 ?             -1 S        0   0:02 [irq/172-iwlwifi:queue_7]
      2     551       0       0 ?             -1 S        0   0:00 [irq/173-iwlwifi:queue_8]
      2     552       0       0 ?             -1 S        0   0:02 [irq/174-iwlwifi:queue_9]
      2     553       0       0 ?             -1 S        0   0:00 [irq/175-iwlwifi:queue_10]
      2     554       0       0 ?             -1 S        0   0:01 [irq/176-iwlwifi:queue_11]
      2     555       0       0 ?             -1 S        0   0:00 [irq/177-iwlwifi:queue_12]
      2     556       0       0 ?             -1 S        0   0:02 [irq/178-iwlwifi:queue_13]
      2     557       0       0 ?             -1 S        0   0:00 [irq/179-iwlwifi:queue_14]
      2     558       0       0 ?             -1 S        0   0:00 [irq/180-iwlwifi:exception]
      2     581       0       0 ?             -1 I<       0   0:00 [kworker/3:1H-kblockd]
      1     583     583     583 ?             -1 Ss     129   0:00 /sbin/rpcbind -f -w
      1     585     585     585 ?             -1 Ss     108   0:12 /lib/systemd/systemd-oomd
      1     586     586     586 ?             -1 Ss     101   0:01 /lib/systemd/systemd-resolved
      1     587     587     587 ?             -1 Ssl    103   0:00 /lib/systemd/systemd-timesyncd
      2     598       0       0 ?             -1 I<       0   0:00 [cryptd]
      2     628       0       0 ?             -1 I<       0   0:00 [rpciod]
      2     629       0       0 ?             -1 I<       0   0:00 [xprtiod]
      1     683     683     683 ?             -1 Ssl      0   0:00 /usr/libexec/accounts-daemon
      1     684     684     684 ?             -1 Ss       0   0:11 /usr/sbin/acpid
      1     687     687     687 ?             -1 Ss     114   0:01 avahi-daemon: running [liupeng-ThinkBook-14-G4-IAP.local]
      1     688     688     688 ?             -1 Ss       0   0:03 /usr/lib/bluetooth/bluetoothd
      1     689     689     689 ?             -1 Ss       0   0:00 /usr/sbin/cron -f -P
      1     690     690     690 ?             -1 Ss     102   0:03 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
      1     691     691     691 ?             -1 Ssl      0   0:03 /usr/sbin/NetworkManager --no-daemon
      1     699     699     699 ?             -1 Ssl      0   0:00 /usr/sbin/irqbalance --foreground
      1     700     700     700 ?             -1 Ss       0   0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
      1     702     702     702 ?             -1 Ssl      0   0:01 /usr/libexec/polkitd --no-debug
      1     704     704     704 ?             -1 Ssl      0   0:00 /usr/libexec/power-profiles-daemon
      1     707     707     707 ?             -1 Ssl    104   0:00 /usr/sbin/rsyslogd -n -iNONE
      1     711     711     711 ?             -1 Ssl      0   0:02 /usr/lib/snapd/snapd
      1     714     714     714 ?             -1 Ssl      0   0:00 /usr/libexec/switcheroo-control
      1     718     718     718 ?             -1 Ss       0   0:00 /lib/systemd/systemd-logind
      1     721     721     721 ?             -1 Ssl      0   0:01 /usr/sbin/thermald --systemd --dbus-enable --adaptive
      1     723     723     723 ?             -1 Ssl      0   0:00 /usr/libexec/udisks2/udisksd
      1     725     725     725 ?             -1 Ss       0   0:03 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
    687     731     687     687 ?             -1 S      114   0:00 avahi-daemon: chroot helper
      1     769     769     769 ?             -1 Ssl      0   0:00 /usr/sbin/ModemManager
      1     772     772     772 ?             -1 Ssl      0   0:00 /usr/libexec/boltd
      1     774     774     774 ?             -1 Ss       0   0:00 /usr/sbin/cupsd -l
      1     794     794     794 ?             -1 Ssl      0   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
      1     826     826     826 ?             -1 Ssl      0   0:00 /usr/sbin/gdm3
      2     868       0       0 ?             -1 S        0   0:00 [card0-crtc0]
      2     869       0       0 ?             -1 S        0   0:00 [card0-crtc1]
      2     870       0       0 ?             -1 S        0   0:00 [card0-crtc2]
      2     871       0       0 ?             -1 S        0   0:00 [card0-crtc3]
      1     894     894     894 ?             -1 Ssl      0   0:01 /usr/libexec/upowerd
      2     974       0       0 ?             -1 S        0   0:00 [irq/183-AudioDSP]
      1    1154    1154    1154 ?             -1 SNsl   116   0:00 /usr/libexec/rtkit-daemon
      1    1322    1322    1322 ?             -1 Ssl    123   0:01 /usr/libexec/geoclue
      1    1323    1323    1323 ?             -1 Ssl      0   0:02 /usr/libexec/packagekitd
      1    1464    1464    1464 ?             -1 Ssl    122   0:00 /usr/libexec/colord
      2    1486       0       0 ?             -1 I        0   0:00 [kworker/7:2-events]
      1    1578    1578    1578 ?             -1 Ssl      0   0:00 /usr/sbin/cups-browsed
      1    1582    1582    1582 ?             -1 Ss     113   0:00 /usr/sbin/kerneloops --test
      1    1584    1584    1584 ?             -1 Ss     113   0:00 /usr/sbin/kerneloops
    826    1589     826     826 ?             -1 Sl       0   0:00 gdm-session-worker [pam/gdm-password]
      1    1602    1602    1602 ?             -1 Ss    1000   0:00 /lib/systemd/systemd --user
   1602    1603    1602    1602 ?             -1 S     1000   0:00 (sd-pam)
   1602    1609    1609    1609 ?             -1 S<sl  1000   0:00 /usr/bin/pipewire
   1602    1610    1610    1610 ?             -1 Ssl   1000   0:00 /usr/bin/pipewire-media-session
   1602    1611    1611    1611 ?             -1 S<sl  1000   1:24 /usr/bin/pulseaudio --daemonize=no --log-target=journal
   1602    1621    1621    1621 ?             -1 Ss    1000   0:04 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
      1    1623    1622    1622 ?             -1 Sl    1000   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
   1602    1627    1627    1627 ?             -1 Ssl   1000   0:00 /usr/libexec/gvfsd
